alert_id,clip_id,device_id,alert_time,time_bucket,threshold_version,score_at_alert,alert_level,pushed_to_platform,pushed_delay_ms,operator_review_result,review_time_sec
A_v060_0000001,C0000002,D0012,2026-01-20 23:23:13,night,v060,0.6496697378041245,low,1,5703,false_alarm,103
A_v060_0000002,C0000003,D0036,2026-01-26 02:42:19,early_morning,v060,0.8108760026977574,low,1,1505,confirmed_firework,242
A_v060_0000003,C0000004,D0100,2026-01-24 15:11:12,daytime,v060,0.6483993439030804,low,1,3885,false_alarm,183
A_v060_0000004,C0000008,D0023,2026-01-02 17:54:57,evening_peak,v060,0.6597023903318194,low,1,996,false_alarm,102
A_v060_0000005,C0000009,D0061,2026-01-25 14:00:40,daytime,v060,0.8030336023399576,low,1,4344,confirmed_firework,149
A_v060_0000006,C0000014,D0094,2026-01-05 16:24:51,daytime,v060,0.8222839400439921,medium,1,1232,confirmed_firework,251
A_v060_0000007,C0000018,D0053,2026-01-05 15:18:52,daytime,v060,0.8256191502654511,medium,1,605,confirmed_firework,126
A_v060_0000008,C0000019,D0055,2026-01-16 17:46:42,evening_peak,v060,0.8052653001382408,low,1,3768,confirmed_firework,219
A_v060_0000009,C0000020,D0073,2026-01-26 17:43:08,evening_peak,v060,0.8147545865682633,low,1,318,confirmed_firework,187
A_v060_0000010,C0000025,D0099,2026-01-27 23:09:52,night,v060,0.8162568334264294,low,1,5337,confirmed_firework,197
A_v060_0000011,C0000026,D0014,2026-01-18 07:32:24,early_morning,v060,0.9125366038815382,high,1,4884,confirmed_firework,259
A_v060_0000012,C0000027,D0120,2026-01-05 23:07:10,night,v060,0.8296995307821146,medium,1,5635,false_alarm,203
A_v060_0000013,C0000029,D0117,2026-01-13 20:00:13,evening_peak,v060,0.9414151788044534,high,0,4664,confirmed_firework,175
A_v060_0000014,C0000032,D0057,2026-01-23 21:02:07,night,v060,0.7013719731860112,low,1,4160,false_alarm,196
A_v060_0000015,C0000033,D0091,2026-01-25 18:11:55,evening_peak,v060,0.6186176379592687,low,1,3776,false_alarm,30
