clip_id,event_time,device_id,region_id,scene_type,time_bucket,is_holiday,weather,snr_db,peak_db,duration_ms,spectral_centroid,zero_crossing_rate,rms_energy,true_class,binary_label,model_score,predicted_label,error_type,miss_reason
C0000001,2026-01-08 06:43:29,D0087,R02,construction_site,early_morning,0,clear,4.618622246907826,85.26381161739022,453.6411799844841,3999.5528148171875,0.11797581840016429,0.7441897578778378,vehicle_backfire,0,0.4579076493057355,0,TN,
C0000002,2026-01-20 23:21:13,D0012,R04,industrial_park,night,0,clear,6.207491473176164,100.80825300445423,739.774402087817,3663.135226827035,0.16036420310783858,0.43601330563548235,truck_horn,0,0.6496697378041245,0,TN,
C0000003,2026-01-26 02:41:22,D0036,R04,residential_area,early_morning,1,cloudy,-2.4139567824921393,98.6108817175588,540.9612660032765,3940.408367033552,0.08240936096853851,0.47776480616902284,firework,1,0.8108760026977574,1,TP,
C0000004,2026-01-24 15:09:05,D0100,R08,industrial_park,daytime,1,cloudy,6.74093479768338,92.06906573736711,1001.0970423673748,3620.486940744383,0.06299504442359008,0.4694054306178364,piling,0,0.6483993439030804,0,TN,
C0000005,2026-01-29 08:02:39,D0056,R05,construction_site,daytime,0,light_rain,17.85223954377311,108.35423974795506,1563.17368209783,3955.7397192363364,0.05327116126430872,0.5177488682866587,piling,0,0.3790695825732173,0,TN,
C0000006,2026-01-17 13:14:59,D0049,R05,construction_site,daytime,1,windy,21.177656008929304,98.50810495402133,1202.7982732129412,3822.033849827084,0.13663926940315957,0.33234426766410535,piling,0,0.4304015984863289,0,TN,
C0000007,2026-01-24 23:39:31,D0086,R02,residential_area,night,1,cloudy,16.899638962574443,123.16638423662948,1196.8249182973482,3948.2802797630857,0.12637521066911847,0.8706299800360182,firework,1,0.33013996505281634,0,FN,far_distance_low_snr
C0000008,2026-01-02 17:52:34,D0023,R03,industrial_park,evening_peak,0,cloudy,17.28787146956354,78.77519755434193,631.4888518435328,3785.798967855521,0.1857007977279497,0.25636080222021357,vehicle_backfire,0,0.6597023903318194,0,TN,
C0000009,2026-01-25 13:59:11,D0061,R03,construction_site,daytime,1,heavy_rain,23.375271526994506,106.13256781287163,384.3075234798737,5341.153886054535,0.28155066415049856,0.8994176806217606,firework,1,0.8030336023399576,1,TP,
C0000010,2026-01-24 22:28:08,D0022,R02,arterialRoad,night,1,light_rain,26.06120742993875,103.04628476288772,1223.2412720175066,3369.4052016131454,0.1187872453810846,0.38439925289927057,truck_horn,0,0.345692667152224,0,TN,
C0000011,2026-01-07 11:30:52,D0072,R06,arterial_road,daytime,0,cloudy,-0.8460859296575549,113.13876436619974,487.4971716434757,3299.2193514605065,0.21171866026711755,0.7218465020886613,vehicle_backfire,0,0.3791151754699352,0,TN,
C0000012,2026-01-21 02:08:49,D0043,R06,construction_site,early_morning,0,cloudy,13.370313899467675,83.44566061724501,1078.4837855653986,2986.247281185751,0.13475808851973478,0.20208430733360766,machinery,0,0.37137323252507437,0,TN,
C0000013,2026-01-11 18:40:25,D0011,R02,arterial_road,evening_peak,1,clear,-2.900360485222104,93.43579227937707,689.7171934187287,2907.6585807958336,0.18748717249017144,0.2674909575044747,truck_horn,0,0.39373743470330547,0,TN,
C0000014,2026-01-05 16:22:31,D0094,R07,arterial_road,daytime,1,light_rain,37.692134203458515,110.12688186814566,632.4531774469085,4421.633186604076,0.10608514672444358,0.5898446537458201,firework,1,0.8222839400439921,1,TP,
C0000015,2026-01-08 22:08:03,D0063,R01,arterial_road,night,0,light_rain,17.063316257493213,104.15822271896872,976.2756996184651,4781.762836154123,0.23624537230914935,0.4543572696794439,vehicle_backfire,0,0.558595947314427,0,TN,
