clip_id,event_time,device_id,region_id,scene_type,time_bucket,is_holiday,weather,snr_db,peak_db,duration_ms,spectral_centroid,zero_crossing_rate,rms_energy,true_class,binary_label,model_score,predicted_label,error_type,miss_reason
C0000001,2026-01-08 06:43:29,D0087,R02,construction_site,early_morning,0,clear,4.618622246907826,85.26381161739022,453.6411799844841,3999.552814817188,0.1179758184001642,0.7441897578778378,vehicle_backfire,0,0.4579076493057355,0,TN,
C0000002,2026-01-20 23:21:13,D0012,R04,industrial_park,night,0,clear,6.207491473176164,100.80825300445424,739.774402087817,3663.135226827035,0.1603642031078385,0.4360133056354823,truck_horn,0,0.6496697378041245,0,TN,
C0000003,2026-01-26 02:41:22,D0036,R04,residential_area,early_morning,1,cloudy,-2.4139567824921397,98.6108817175588,540.9612660032765,3940.408367033552,0.0824093609685385,0.4777648061690228,firework,1,0.8108760026977574,1,TP,
C0000004,2026-01-24 15:09:05,D0100,R08,industrial_park,daytime,1,cloudy,6.74093479768338,92.06906573736713,1001.0970423673748,3620.486940744383,0.06299504442359,0.4694054306178364,piling,0,0.6483993439030804,0,TN,
C0000005,2026-01-29 08:02:39,D0056,R05,construction_site,daytime,0,light_rain,17.85223954377311,108.35423974795506,1563.17368209783,3955.739719236336,0.0532711612643087,0.5177488682866587,piling,0,0.3790695825732173,0,TN,
C0000006,2026-01-17 13:14:59,D0049,R05,construction_site,daytime,1,windy,21.177656008929304,98.50810495402132,1202.7982732129412,3822.033849827084,0.1366392694031595,0.3323442676641053,piling,0,0.4304015984863289,0,TN,
C0000007,2026-01-24 23:39:31,D0086,R02,residential_area,night,1,cloudy,16.899638962574443,123.16638423662948,1196.8249182973482,3948.2802797630857,0.1263752106691184,0.8706299800360182,firework,1,0.3301399650528163,0,FN,far_distance_low_snr
C0000008,2026-01-02 17:52:34,D0023,R03,industrial_park,evening_peak,0,cloudy,17.28787146956354,78.77519755434193,631.4888518435328,3785.798967855521,0.1857007977279497,0.2563608022202135,vehicle_backfire,0,0.6597023903318194,0,TN,
C0000009,2026-01-25 13:59:11,D0061,R03,construction_site,daytime,1,heavy_rain,23.375271526994503,106.13256781287164,384.3075234798737,5341.153886054535,0.2815506641504985,0.8994176806217606,firework,1,0.8030336023399576,1,TP,
C0000010,2026-01-24 22:28:08,D0022,R02,arterial_road,night,1,light_rain,26.06120742993875,103.04628476288772,1223.2412720175066,3369.405201613145,0.1187872453810846,0.3843992528992705,truck_horn,0,0.345692667152224,0,TN,
C0000011,2026-01-07 11:30:52,D0072,R06,arterial_road,daytime,0,cloudy,-0.8460859296575549,113.13876436619974,487.4971716434757,3299.2193514605065,0.2117186602671175,0.7218465020886613,vehicle_backfire,0,0.3791151754699352,0,TN,
C0000012,2026-01-21 02:08:49,D0043,R06,construction_site,early_morning,0,cloudy,13.370313899467677,83.44566061724501,1078.4837855653986,2986.247281185751,0.1347580885197347,0.2020843073336076,machinery,0,0.3713732325250743,0,TN,
C0000013,2026-01-11 18:40:25,D0011,R02,arterial_road,evening_peak,1,clear,-2.900360485222104,93.43579227937708,689.7171934187287,2907.6585807958336,0.1874871724901714,0.2674909575044747,truck_horn,0,0.3937374347033054,0,TN,
C0000014,2026-01-05 16:22:31,D0094,R07,arterial_road,daytime,1,light_rain,37.69213420345852,110.12688186814566,632.4531774469085,4421.633186604076,0.1060851467244435,0.5898446537458201,firework,1,0.8222839400439921,1,TP,
C0000015,2026-01-08 22:08:03,D0063,R01,arterial_road,night,0,light_rain,17.063316257493213,104.15822271896872,976.2756996184652,4781.762836154123,0.2362453723091493,0.4543572696794439,vehicle_backfire,0,0.558595947314427,0,TN,
C0000016,2026-01-13 08:16:19,D0117,R02,construction_site,daytime,0,cloudy,6.407312976908882,83.66850264361914,760.0996612436212,2768.197960260568,0.1400297693821935,0.4778959325354577,metal_hit,0,0.3037977648677913,0,TN,
C0000017,2026-01-24 17:20:27,D0009,R07,residential_area,evening_peak,1,cloudy,-2.38497180904378,76.52170215292543,814.8263990405227,1681.520219150158,0.0864507856074833,0.4493066361043821,vehicle_backfire,0,0.5331575630889169,0,TN,
C0000018,2026-01-05 15:16:29,D0053,R08,construction_site,daytime,1,clear,7.431754554399793,105.89687240693588,678.6132636021825,2574.1470706373643,0.2414901500633585,0.7988624151576331,firework,1,0.8256191502654511,1,TP,
C0000019,2026-01-16 17:44:54,D0055,R05,construction_site,evening_peak,1,light_rain,34.20167147926008,121.90413323820373,1136.925313799154,4102.58206520624,0.1923805959131956,0.4087647517406867,firework,1,0.8052653001382408,1,TP,
C0000020,2026-01-26 17:41:02,D0073,R01,industrial_park,evening_peak,1,light_rain,26.3597292977999,96.85171461570306,916.7565045955184,4454.3422531942,0.0712358763382048,0.7531915833314924,firework,1,0.8147545865682633,1,TP,
C0000021,2026-01-23 21:46:44,D0024,R08,industrial_park,night,0,clear,25.772730784282125,115.88454331951728,419.2389203049294,3781.690768859532,0.2333677119449392,0.4989465556910497,vehicle_backfire,0,0.2924695198432143,0,TN,
C0000022,2026-01-26 23:02:45,D0028,R03,residential_area,night,1,light_rain,2.142896255245031,93.44451718183493,767.9633680026099,2474.786144427736,0.1666638035613595,0.4052555240868322,piling,0,0.5900646154012694,0,TN,
C0000023,2026-01-20 20:43:37,D0110,R02,industrial_park,evening_peak,0,windy,17.167494805500134,109.1067481477474,487.26671559334216,2614.4522685418688,0.1795116489640703,0.2024236509152466,metal_hit,0,0.5530120480272059,0,TN,
C0000024,2026-01-07 02:27:00,D0064,R08,construction_site,early_morning,0,clear,17.67367552569435,82.18172058420166,1099.244137720635,3616.5615898273554,0.2388728100739555,0.8311076711839237,vehicle_backfire,0,0.5320919991441688,0,TN,
C0000025,2026-01-27 23:08:43,D0099,R02,residential_area,night,0,light_rain,26.614410661315567,124.43137119121548,1149.6937384938851,3786.861146586053,0.0964242424605976,0.5816758767811544,firework,1,0.8162568334264294,1,TP,
C0000026,2026-01-18 07:30:01,D0014,R03,construction_site,early_morning,1,cloudy,25.779657716563257,95.98373412672572,887.1362010144157,3710.0495524946687,0.1603295383517806,0.3157789005107091,firework,1,0.9125366038815382,1,TP,
C0000027,2026-01-05 23:04:48,D0120,R06,construction_site,night,1,clear,-2.764196453486205,56.01604104871639,1938.1284980596777,2373.4482908284726,0.061324598077421,0.2648175453301284,wind_rain,0,0.8296995307821146,1,FP,
C0000028,2026-01-14 11:50:13,D0103,R05,residential_area,daytime,0,cloudy,15.547159007497685,104.4666531213196,1016.4942598820736,3616.0353644354113,0.1779218865078756,0.7331664681763643,truck_horn,0,0.4172214155784378,0,TN,
C0000029,2026-01-13 19:59:08,D0117,R02,construction_site,evening_peak,0,clear,3.4761006188609063,120.38849791883726,256.56815817925354,5404.266368908347,0.2014269141524126,0.5920451223509584,firework,1,0.9414151788044534,1,TP,
C0000030,2026-01-27 12:27:01,D0081,R03,construction_site,daytime,0,light_rain,2.390784767138113,70.99697899361085,227.2241580097708,2308.772994096109,0.1505642591627756,0.7032055324585299,metal_hit,0,0.3414033371126678,0,TN,
C0000031,2026-01-26 19:51:03,D0107,R08,arterial_road,evening_peak,1,light_rain,33.479580356496506,101.1510590418662,758.8368096004232,4557.921068761691,0.1135617063548306,0.9377814027724864,firework,1,0.4039881675036966,0,FN,occlusion_reflection
C0000032,2026-01-23 21:00:33,D0057,R07,arterial_road,night,0,clear,4.980383337366544,95.614078563059,1285.0204161451231,2545.1383940855167,0.1845343470759181,0.6471966818946263,truck_horn,0,0.7013719731860112,0,TN,
C0000033,2026-01-25 18:11:41,D0091,R05,residential_area,evening_peak,1,cloudy,2.4463642554380094,105.4318286051324,599.4347887171077,4472.430992250759,0.1458696850659656,0.5895644479697967,vehicle_backfire,0,0.6186176379592687,0,TN,
C0000034,2026-01-16 16:35:41,D0118,R08,construction_site,daytime,1,clear,17.647492850421227,96.76951851259138,648.826401859827,4236.360271881633,0.0810977817106579,0.3356824944940373,metal_hit,0,0.081539420425802,0,TN,
C0000035,2026-01-08 10:04:11,D0086,R02,residential_area,daytime,0,clear,0.0957876085339366,83.33689685271196,1410.6574593117746,1842.0552792136384,0.064187156389791,0.6145650554730362,crowd_noise,0,0.5519584919178548,0,TN,
C0000036,2026-01-04 03:42:56,D0097,R08,arterial_road,early_morning,1,clear,7.881261069669026,62.59055865467764,108.22327729828396,3742.8994124563706,0.2001242418893378,0.71144403093579,metal_hit,0,0.1740484756517658,0,TN,
C0000037,2026-01-17 17:49:38,D0028,R03,residential_area,evening_peak,1,clear,14.774485616736534,99.6386851697315,828.986424270486,3446.352269275216,0.257629994012022,0.8410943333636978,firework,1,0.9541032896028956,1,TP,
C0000038,2026-01-05 01:10:30,D0058,R04,arterial_road,early_morning,1,clear,29.569551310184835,98.45382485464592,1554.1400819994276,4319.399540104741,0.1963469136091842,0.4407628064244673,truck_horn,0,0.8723688775889026,1,FP,
C0000039,2026-01-12 22:54:05,D0032,R01,industrial_park,night,0,light_rain,7.458200925461586,93.15180673763808,511.7522924603096,4208.773905544636,0.1501862622442484,0.8822689682627153,truck_horn,0,0.3257479810415067,0,TN,
