case_id,start_time,end_time,involved_device_count,fused_latitude,fused_longitude,estimated_scene_type,final_result,response_status,response_time_sec,evidence_generated
CASE000001,2026-01-01 00:34:43,2026-01-01 00:37:43,1,31.233701869622728,121.54327576896328,arterial_road,suspected_firework,handled,1412,1
CASE000002,2026-01-01 01:31:01,2026-01-01 01:47:19,2,31.201510569695348,121.52042648864749,industrial_park,confirmed_firework,handled,1134,1
CASE000003,2026-01-01 02:09:34,2026-01-01 02:12:34,1,31.189786104350315,121.39176284793622,residential_area,suspected_firework,closed,134,1
CASE000004,2026-01-01 02:44:02,2026-01-01 02:47:02,1,31.062559487778667,121.34436017955531,residential_area,suspected_firework,under_review,382,0
CASE000005,2026-01-01 03:06:24,2026-01-01 03:09:24,1,31.24854006393636,121.50611170994573,residential_area,suspected_firework,handled,1745,1
CASE000006,2026-01-01 04:50:04,2026-01-01 04:53:04,1,31.306811644718497,121.44371467658897,residential_area,suspected_firework,closed,1121,1
CASE000007,2026-01-01 05:02:38,2026-01-01 05:05:38,1,31.263004753771177,121.47958191409724,residential_area,suspected_firework,under_review,825,0
CASE000008,2026-01-01 05:42:39,2026-01-01 05:45:39,1,31.182836356657106,121.4209584967145,residential_area,suspected_firework,handled,249,1
CASE000009,2026-01-01 07:44:20,2026-01-01 07:47:20,1,31.048874283920217,121.52706941658141,industrial_park,suspected_firework,handled,1408,1
CASE000010,2026-01-01 08:03:42,2026-01-01 08:06:42,1,31.288304171644167,121.45584593755349,construction_site,suspected_firework,under_review,1114,1
CASE000011,2026-01-01 09:08:32,2026-01-01 09:11:32,1,31.19079377295266,121.32102123586877,residential_area,suspected_firework,handled,1229,1
CASE000012,2026-01-01 13:36:51,2026-01-01 13:39:51,1,31.290517498404988,121.39126805789778,arterial_road,suspected_firework,handled,1570,1
CASE000013,2026-01-01 15:24:28,2026-01-01 15:27:28,1,31.237678385347245,121.46546100884638,residential_area,suspected_firework,handled,684,1
CASE000014,2026-01-01 16:10:30,2026-01-01 16:13:30,1,31.251557218794748,121.48633659563373,arterial_road,suspected_firework,closed,1106,0
CASE000015,2026-01-01 17:35:45,2026-01-01 17:52:20,4,31.22388273434649,121.55770772813695,residential_area,confirmed_firework,closed,984,1
CASE000016,2026-01-01 18:19:03,2026-01-01 18:22:03,1,31.134360720714177,121.44111202009499,residential_area,suspected_firework,closed,1182,1
CASE000017,2026-01-01 18:34:54,2026-01-01 18:57:11,2,31.191093627413995,121.42695191279385,residential_area,confirmed_firework,under_review,886,1
CASE000018,2026-01-01 19:40:56,2026-01-01 19:58:11,3,31.18658955528595,121.42615408907734,residential_area,confirmed_firework,closed,1443,1
CASE000019,2026-01-01 19:59:27,2026-01-01 20:29:00,5,31.181054497801256,121.4449110464237,residential_area,confirmed_firework,closed,1351,1
CASE000020,2026-01-01 20:31:39,2026-01-01 20:47:20,3,31.22603743883858,121.47817125965626,industrial_park,confirmed_firework,handled,388,1
CASE000021,2026-01-01 21:13:17,2026-01-01 21:19:42,2,31.224516845023338,121.5124390969013,residential_area,confirmed_firework,handled,1079,1
CASE000022,2026-01-01 21:32:51,2026-01-01 22:00:31,4,31.19888893433444,121.51524027643181,arterial_road,confirmed_firework,handled,498,0
CASE000023,2026-01-01 22:14:42,2026-01-01 22:18:07,2,31.175588869872804,121.51762191638413,construction_site,confirmed_firework,under_review,1384,1
CASE000024,2026-01-01 22:38:37,2026-01-01 23:00:47,3,31.143812536382928,121.41519604859239,arterial_road,confirmed_firework,under_review,1636,1
CASE000025,2026-01-01 23:05:06,2026-01-01 23:30:01,4,31.216513528284203,121.46814899528773,residential_area,confirmed_firework,closed,1621,1
CASE000026,2026-01-01 23:29:37,2026-01-01 23:56:40,9,31.196657738150435,121.48481615874265,residential_area,confirmed_firework,under_review,407,1
CASE000027,2026-01-02 01:26:44,2026-01-02 01:29:44,1,31.27421318607264,121.38954772831497,industrial_park,suspected_firework,closed,1540,1
CASE000028,2026-01-02 04:21:50,2026-01-02 04:24:50,1,31.220758655424532,121.40084013679848,construction_site,suspected_firework,handled,698,1
CASE000029,2026-01-02 05:06:45,2026-01-02 05:09:45,1,31.272407779891697,121.49787107798709,residential_area,suspected_firework,under_review,1511,1
CASE000030,2026-01-02 05:46:34,2026-01-02 05:50:45,3,31.2150161482861,121.40992134329039,residential_area,confirmed_firework,closed,1001,1
CASE000031,2026-01-02 06:44:36,2026-01-02 06:47:36,1,31.205129687735575,121.58848048402557,arterial_road,suspected_firework,handled,806,1
CASE000032,2026-01-02 07:09:50,2026-01-02 07:12:50,1,31.25108124141802,121.42288592024124,arterial_road,suspected_firework,under_review,963,1
CASE000033,2026-01-02 10:02:11,2026-01-02 10:19:22,2,31.20620369850156,121.45922833391356,arterial_road,confirmed_firework,under_review,356,1
CASE000034,2026-01-02 11:24:55,2026-01-02 11:27:55,1,31.244103902082074,121.45382717575711,residential_area,suspected_firework,handled,1445,1
CASE000035,2026-01-02 11:45:26,2026-01-02 11:48:26,1,31.252425424491552,121.44866025232555,residential_area,suspected_firework,closed,1369,1
CASE000036,2026-01-02 12:57:58,2026-01-02 13:00:58,1,31.21570946165684,121.42696981825003,industrial_park,suspected_firework,handled,913,1
CASE000037,2026-01-02 13:19:03,2026-01-02 13:31:23,2,31.19713932972695,121.49699183692093,arterial_road,confirmed_firework,under_review,208,1
CASE000038,2026-01-02 15:03:55,2026-01-02 15:06:55,1,31.237103382128076,121.49375303484265,residential_area,suspected_firework,handled,1411,1
CASE000039,2026-01-02 17:06:34,2026-01-02 17:09:34,1,31.16648506740671,121.44931332557891,construction_site,suspected_firework,handled,1688,1
CASE000040,2026-01-02 17:30:04,2026-01-02 17:44:19,4,31.226862019499404,121.47535806964568,arterial_road,confirmed_firework,handled,1274,0
CASE000041,2026-01-02 18:21:37,2026-01-02 18:24:37,1,31.13468785810655,121.52019593879676,residential_area,suspected_firework,handled,230,1
CASE000042,2026-01-02 18:39:41,2026-01-02 18:57:16,3,31.12690661346622,121.46426182524966,residential_area,confirmed_firework,handled,195,1
CASE000043,2026-01-02 19:12:21,2026-01-02 19:26:40,2,31.259720970020773,121.56066132054515,residential_area,confirmed_firework,handled,188,1
CASE000044,2026-01-02 19:32:28,2026-01-02 19:53:52,4,31.218895445225854,121.50049810142278,residential_area,confirmed_firework,closed,1237,1
CASE000045,2026-01-02 20:15:31,2026-01-02 20:18:31,1,31.25119494464821,121.419361043887,arterial_road,suspected_firework,closed,1170,0
